epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1422.44,0.73055,0.41038,0.94193,0.96535,0.94006,0.95339,0.71453,0.69234,0.33087,1.01072,0.000679204,0.000679204,0.000679204
55,1448.41,0.74517,0.41499,0.94356,0.96914,0.9345,0.95296,0.71796,0.69612,0.35679,1.00314,0.000665057,0.000665057,0.000665057
56,1474.54,0.73141,0.41382,0.93549,0.97002,0.93918,0.95575,0.71949,0.66351,0.31809,1.00355,0.000650909,0.000650909,0.000650909
57,1502.54,0.72798,0.41653,0.93622,0.96556,0.94319,0.95643,0.72091,0.66781,0.3274,1.00195,0.000636762,0.000636762,0.000636762
58,1528.11,0.74073,0.41255,0.94293,0.96857,0.94803,0.96014,0.72261,0.68223,0.32927,1.00413,0.000622615,0.000622615,0.000622615
59,1553.8,0.74852,0.41478,0.94175,0.98111,0.94704,0.96492,0.71701,0.6794,0.34327,1.00944,0.000608468,0.000608468,0.000608468
60,1579.48,0.74372,0.41578,0.94193,0.97624,0.94827,0.96119,0.71094,0.66699,0.31139,1.00254,0.000594321,0.000594321,0.000594321
61,1605.19,0.73064,0.41207,0.93706,0.97268,0.94404,0.96231,0.722,0.66686,0.32337,1.00102,0.000580174,0.000580174,0.000580174
62,1630.92,0.73472,0.41137,0.93369,0.96838,0.94559,0.96245,0.72231,0.67428,0.3184,1.00429,0.000566027,0.000566027,0.000566027
63,1656.8,0.72181,0.40392,0.93524,0.97759,0.94688,0.96326,0.72103,0.65907,0.31766,0.99936,0.00055188,0.00055188,0.00055188
64,1682.71,0.71936,0.39677,0.93561,0.97123,0.94642,0.96527,0.72309,0.66552,0.32273,1.00001,0.000537733,0.000537733,0.000537733
65,1709.09,0.72409,0.40529,0.93273,0.97044,0.93759,0.95669,0.71403,0.68678,0.31791,1.00561,0.000523586,0.000523586,0.000523586
66,1735.16,0.70956,0.39724,0.937,0.9661,0.94161,0.96226,0.7264,0.6576,0.29989,0.9982,0.000509438,0.000509438,0.000509438
67,1761.05,0.72633,0.40178,0.9326,0.9719,0.94161,0.96099,0.72864,0.65772,0.31866,0.99775,0.000495291,0.000495291,0.000495291
68,1787.06,0.71588,0.39825,0.93135,0.96901,0.93687,0.96055,0.72579,0.66084,0.32326,1.00222,0.000481144,0.000481144,0.000481144
69,1813.43,0.71864,0.39057,0.93557,0.97457,0.94401,0.96238,0.72609,0.65823,0.31014,0.99999,0.000466997,0.000466997,0.000466997
70,1840.18,0.71944,0.40365,0.93111,0.97385,0.94498,0.95855,0.72098,0.66763,0.33443,1.00095,0.00045285,0.00045285,0.00045285
71,1866.45,0.71891,0.39543,0.93208,0.97446,0.9437,0.96503,0.73187,0.6552,0.30237,0.99687,0.000438703,0.000438703,0.000438703
72,1892.91,0.70109,0.3887,0.92767,0.97485,0.94492,0.96301,0.72808,0.66558,0.31855,1.00126,0.000424556,0.000424556,0.000424556
73,1919.43,0.70918,0.38718,0.93318,0.97472,0.94736,0.9627,0.72777,0.67436,0.30715,1.0033,0.000410409,0.000410409,0.000410409
74,1946.16,0.69384,0.37575,0.92464,0.98153,0.94657,0.96117,0.72259,0.65174,0.30933,0.99835,0.000396262,0.000396262,0.000396262
75,1972.9,0.69893,0.38571,0.9297,0.97541,0.94637,0.95851,0.72429,0.65758,0.31782,1.00008,0.000382115,0.000382115,0.000382115
76,1999.58,0.70907,0.38383,0.93277,0.97377,0.94559,0.95926,0.72848,0.65538,0.30308,0.99541,0.000367967,0.000367967,0.000367967
77,2026.26,0.71389,0.38882,0.93294,0.97436,0.94454,0.96111,0.72743,0.6548,0.30836,0.99665,0.00035382,0.00035382,0.00035382
78,2052.96,0.69455,0.3789,0.92656,0.97868,0.94155,0.9613,0.72463,0.65363,0.31202,1.00161,0.000339673,0.000339673,0.000339673
79,2079.61,0.70123,0.38097,0.92848,0.97516,0.94891,0.96215,0.73066,0.65239,0.30903,0.99642,0.000325526,0.000325526,0.000325526
80,2106.52,0.69119,0.37319,0.91989,0.97691,0.94577,0.96229,0.7371,0.64616,0.30377,0.99321,0.000311379,0.000311379,0.000311379
81,2133.44,0.6891,0.37957,0.92283,0.977,0.9479,0.96445,0.73215,0.6523,0.30012,0.99541,0.000297232,0.000297232,0.000297232
82,2162.2,0.69092,0.37015,0.92702,0.97317,0.94362,0.95845,0.72815,0.65278,0.30829,0.99637,0.000283085,0.000283085,0.000283085
83,2191.16,0.69958,0.37713,0.93128,0.97453,0.94559,0.96176,0.73203,0.6525,0.30489,0.99557,0.000268938,0.000268938,0.000268938
84,2217.52,0.70523,0.37937,0.92949,0.97424,0.94559,0.9627,0.73563,0.64842,0.31185,0.99487,0.000254791,0.000254791,0.000254791
85,2244.25,0.6891,0.37613,0.92308,0.97755,0.94826,0.96442,0.73389,0.64725,0.2966,0.99401,0.000240644,0.000240644,0.000240644
86,2270.92,0.6843,0.36589,0.92189,0.96689,0.94509,0.96018,0.73752,0.64151,0.29226,0.99371,0.000226497,0.000226497,0.000226497
87,2297.83,0.68408,0.37189,0.921,0.97425,0.94161,0.96282,0.72934,0.64344,0.29045,0.995,0.000212349,0.000212349,0.000212349
88,2324.57,0.68729,0.37053,0.92339,0.97653,0.94852,0.96592,0.73268,0.64595,0.29596,0.99572,0.000198202,0.000198202,0.000198202
89,2351.34,0.68484,0.35987,0.91996,0.97424,0.94546,0.96499,0.73509,0.64745,0.29673,0.99757,0.000184055,0.000184055,0.000184055
90,2377.69,0.68287,0.36817,0.91579,0.97348,0.9462,0.96332,0.73637,0.64274,0.28475,0.99691,0.000169908,0.000169908,0.000169908
91,2419.23,0.67575,0.33765,0.91492,0.9784,0.94711,0.96492,0.72843,0.64922,0.29296,0.99662,0.000155761,0.000155761,0.000155761
92,2444.27,0.66937,0.3354,0.90788,0.97673,0.94451,0.96256,0.72831,0.65048,0.29461,0.99746,0.000141614,0.000141614,0.000141614
93,2469.64,0.66332,0.33326,0.91005,0.97847,0.94888,0.96425,0.72751,0.64792,0.28977,0.99656,0.000127467,0.000127467,0.000127467
94,2495.03,0.65867,0.32808,0.9097,0.97543,0.94559,0.96222,0.73307,0.64837,0.29457,0.99611,0.00011332,0.00011332,0.00011332
95,2520.6,0.65843,0.32703,0.90721,0.97745,0.94745,0.96411,0.73349,0.64672,0.29126,0.99613,9.91726e-05,9.91726e-05,9.91726e-05
96,2546.26,0.65342,0.32824,0.90541,0.97907,0.94769,0.96425,0.73756,0.64454,0.28777,0.99571,8.50255e-05,8.50255e-05,8.50255e-05
97,2571.83,0.65463,0.32647,0.9081,0.98009,0.94538,0.96575,0.73286,0.64832,0.2948,0.9948,7.08784e-05,7.08784e-05,7.08784e-05
98,2597.4,0.65099,0.32446,0.90491,0.97672,0.94588,0.96603,0.73573,0.64524,0.29059,0.99501,5.67313e-05,5.67313e-05,5.67313e-05
99,2623.21,0.65167,0.32366,0.90614,0.97778,0.94533,0.96622,0.73713,0.64796,0.29204,0.99563,4.25842e-05,4.25842e-05,4.25842e-05
100,2648.99,0.6555,0.32217,0.90683,0.97895,0.94599,0.96506,0.73257,0.64648,0.29693,0.99558,2.84371e-05,2.84371e-05,2.84371e-05
1,11.9711,2.79971,7.47501,1.56514,0.00132,0.45217,0.00148,0.00043,2.27156,5.79833,1.40524,0.00056,0.00056,0.00056
2,18.8777,2.44852,4.97419,1.41816,0.00226,0.77391,0.08021,0.01758,2.00372,4.83463,1.32371,0.00112871,0.00112871,0.00112871
3,25.0495,2.24211,3.91016,1.32871,0.50681,0.08696,0.28671,0.11114,2.03669,3.25202,1.35058,0.00168594,0.00168594,0.00168594
4,31.1984,2.30502,3.62353,1.36048,0.37248,0.351,0.31542,0.12649,2.11783,2.67713,1.42933,0.0019406,0.0019406,0.0019406
5,37.364,2.33205,2.79701,1.38587,0.36742,0.52529,0.39782,0.14488,2.27458,2.37693,1.57384,0.0019208,0.0019208,0.0019208
6,43.6008,2.28952,2.72285,1.35399,0.22075,0.35473,0.15229,0.04096,3.00777,2.73298,1.8827,0.001901,0.001901,0.001901
7,49.8952,2.27149,2.45208,1.32925,0.20378,0.44348,0.17765,0.05022,2.78002,2.42332,1.76629,0.0018812,0.0018812,0.0018812
8,56.2985,2.20998,2.1039,1.352,0.5345,0.44348,0.44878,0.16398,1.96028,2.43297,1.35868,0.0018614,0.0018614,0.0018614
9,62.6492,2.17818,1.93042,1.3194,0.51349,0.52174,0.47818,0.19466,2.00682,1.5897,1.37079,0.0018416,0.0018416,0.0018416
10,69.1083,2.23474,1.92202,1.34319,0.46785,0.53043,0.42388,0.1573,1.98664,1.64515,1.35356,0.0018218,0.0018218,0.0018218
11,75.5448,2.25709,1.9344,1.34429,0.39122,0.73762,0.39179,0.16003,1.98001,1.63502,1.3411,0.001802,0.001802,0.001802
12,82.067,2.23582,1.81517,1.34357,0.38557,0.68696,0.41443,0.17205,2.03922,1.54325,1.36704,0.0017822,0.0017822,0.0017822
13,88.5265,2.15819,1.70449,1.32581,0.38598,0.72153,0.47869,0.19194,1.91876,1.40915,1.3322,0.0017624,0.0017624,0.0017624
14,94.9263,2.14147,1.77195,1.30329,0.4733,0.60949,0.48189,0.19727,1.98804,1.43909,1.3573,0.0017426,0.0017426,0.0017426
15,103.473,2.10527,1.66595,1.29828,0.39063,0.50435,0.37137,0.15994,2.04322,1.64546,1.40047,0.0017228,0.0017228,0.0017228
16,109.853,2.13637,1.55856,1.34226,0.46345,0.73913,0.51727,0.18931,2.01997,1.45136,1.3531,0.001703,0.001703,0.001703
17,118.521,2.17695,1.62714,1.34315,0.40309,0.5913,0.43639,0.16526,2.13956,1.68481,1.41517,0.0016832,0.0016832,0.0016832
18,124.973,2.15674,1.53424,1.26974,0.42377,0.68696,0.42292,0.16854,1.84241,1.49901,1.29006,0.0016634,0.0016634,0.0016634
19,131.545,2.10807,1.50878,1.27387,0.51104,0.63478,0.50173,0.17441,2.04076,1.49174,1.35307,0.0016436,0.0016436,0.0016436
20,137.997,2.13177,1.60229,1.29955,0.45936,0.66957,0.55236,0.21881,1.92539,1.44251,1.33107,0.0016238,0.0016238,0.0016238
21,144.373,2.08524,1.52188,1.32807,0.58939,0.6,0.57245,0.21693,1.95675,1.41861,1.35571,0.001604,0.001604,0.001604
22,150.691,2.01654,1.5028,1.24251,0.51708,0.5959,0.54136,0.20962,1.95535,1.51667,1.33067,0.0015842,0.0015842,0.0015842
23,157.065,2.04481,1.53351,1.26371,0.48888,0.63478,0.59289,0.23234,2.03102,1.40053,1.35988,0.0015644,0.0015644,0.0015644
24,163.681,2.0512,1.50149,1.27623,0.54139,0.62609,0.60527,0.22804,1.99763,1.35849,1.3371,0.0015446,0.0015446,0.0015446
25,172.456,2.06235,1.51698,1.27286,0.54347,0.70435,0.60517,0.22779,2.02308,1.44081,1.33611,0.0015248,0.0015248,0.0015248
26,178.976,1.9656,1.42085,1.25393,0.49949,0.63478,0.57321,0.22589,2.01781,1.54699,1.33265,0.001505,0.001505,0.001505
27,185.441,2.05714,1.53308,1.28559,0.46675,0.73913,0.55658,0.23702,2.0324,1.43645,1.37302,0.0014852,0.0014852,0.0014852
28,191.899,1.9944,1.43881,1.26724,0.62066,0.64348,0.61145,0.23187,1.92399,1.46015,1.33839,0.0014654,0.0014654,0.0014654
29,200.3,2.08982,1.54786,1.25745,0.56444,0.64348,0.6002,0.23873,1.95311,1.54421,1.32931,0.0014456,0.0014456,0.0014456
30,206.8,2.02843,1.46519,1.25993,0.51183,0.72174,0.62426,0.23297,1.96782,1.39604,1.34078,0.0014258,0.0014258,0.0014258
31,213.551,2.02252,1.4344,1.26272,0.51693,0.71304,0.6019,0.2334,2.0589,1.41456,1.39124,0.001406,0.001406,0.001406
32,221.726,1.98742,1.40944,1.23615,0.56687,0.66009,0.5857,0.23306,2.1415,1.33348,1.3739,0.0013862,0.0013862,0.0013862
33,228.21,2.05026,1.39908,1.26619,0.62519,0.69622,0.66712,0.25512,2.05837,1.27726,1.36326,0.0013664,0.0013664,0.0013664
